mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
32	31	181/2	187/2	0.5		1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	296								
32	31	91	94	1.0		1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	297								
33	32		96	3.0	1	0	0	Chord	3/4	1	1	3/4		1/2	3/2	298								
33	32		96	3.0	1	0	0	Chord	3/4	1	2	3/4		1/2	3/2	299								
33	32		96	0.5	1	0	0	Chord	3/4	2	2	1/8		1/8	1	300								
33	32		193/2	0.5	1	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	301								
33	32		97	0.5	1	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	302								
33	32		195/2	0.5	1	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	303								
33	32		98	0.5	1	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	304								
33	32		197/2	0.5	1	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	305								
34	32	93	99	3.0	2	0	0	Chord	3/4	1	1	3/4		1/2	3/2	306								
34	32	93	99	3.0	2	0	0	Chord	3/4	1	2	3/4		1/2	3/2	307								
34	32	94	100	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	308								
34	32	95	101	1.0	2	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	309								
34	32	93	99	1.0	2	0	0	Chord	3/4	2	2	1/4		1/4	1	310								
