mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	298								
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	299								
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	300								
28	28	82	82	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	301								
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	302								
28	28	83	83	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	303								
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	304								
28	28	81	81	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	305								
28	28	81	81	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	306								
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	307								
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	308								
29	29	84	84	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	309								
29	29	84	84	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	310								
29	29	85	85	1.5	1/4	1/4	Chord	3/4	1	2	3/8		1/4	3/2	311								
29	29	173/2	173/2	0.25	5/8	5/8	Chord	3/4	1	2	1/16		1/16	1	312								
29	29	347/4	347/4	0.25	11/16	11/16	Chord	3/4	1	2	1/16		1/16	1	313								
29	29	84	84	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	314								
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	315								
29	29	85	85	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	316								
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	317								
29	29	86	86	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	318								
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	319								
30	30	87	87	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	320								
30	30	87	87	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	321								
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	322								
30	30	88	88	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	323								
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	324								
30	30	89	89	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	325								
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	326								
30	30	87	87	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	327								
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	328								
30	30	88	88	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	329								
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	330								
30	30	89	89	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	331								
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	332								
31	31	90	90	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	333								
31	31	181/2	181/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	334								
31	31	91	91	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	335								
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	336								
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	337								
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	338								
31	31	90	90	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	339								
31	31	90	90	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	340								
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	341								
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	342								
32	32	93	93	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	343								
32	32	187/2	187/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	344								
32	32	94	94	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	345								
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	346								
32	32	95	95	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	347								
32	32	191/2	191/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	348								
32	32	93	93	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	349								
32	32	93	93	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	350								
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	351								
32	32	95	95	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	352								
33	33	96	96	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	353								
33	33	97	97	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	354								
33	33	197/2	197/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	355								
33	33	395/4	395/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	356								
33	33	96	96	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	357								
33	33	97	97	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	358								
33	33	96	96	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	359								
33	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	360								
33	33	97	97	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	361								
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	362								
33	33	98	98	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	363								
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	364								
34	34	99	99	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	365								
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	366								
34	34	100	100	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	367								
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	368								
34	34	101	101	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	369								
34	34	203/2	203/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	370								
34	34	99	99	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	371								
34	34	99	99	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	372								
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	373								
34	34	100	100	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	374								
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	375								
34	34	101	101	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	376								
34	34	203/2	203/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	377								
35	35	102	102	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	378								
35	35	103	103	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	379								
35	35	209/2	209/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	380								
35	35	419/4	419/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	381								
35	35	102	102	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	382								
35	35	103	103	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	383								
35	35	102	102	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	384								
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	385								
35	35	103	103	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	386								
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	387								
35	35	104	104	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	388								
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	389								
36	36	105	105	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	390								
36	36	211/2	211/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	391								
36	36	106	106	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	392								
36	36	213/2	213/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	393								
36	36	107	107	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	394								
36	36	215/2	215/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	395								
36	36	105	105	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	396								
36	36	105	105	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	397								
36	36	211/2	211/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	398								
36	36	106	106	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	399								
36	36	213/2	213/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	400								
36	36	107	107	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	401								
36	36	215/2	215/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	402								
37	37	108	108	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	403								
37	37	109	109	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	404								
37	37	221/2	221/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	405								
37	37	443/4	443/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	406								
37	37	108	108	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	407								
37	37	109	109	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	408								
37	37	108	108	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	409								
37	37	217/2	217/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	410								
37	37	109	109	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	411								
37	37	219/2	219/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	412								
37	37	110	110	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	413								
37	37	221/2	221/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	414								
38	38	111	111	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	415								
38	38	223/2	223/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	416								
38	38	112	112	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	417								
38	38	225/2	225/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	418								
38	38	113	113	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	419								
38	38	227/2	227/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	420								
38	38	111	111	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	421								
38	38	112	112	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	422								
38	38	111	111	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	423								
38	38	223/2	223/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	424								
38	38	112	112	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	425								
38	38	225/2	225/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	426								
38	38	113	113	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	427								
38	38	227/2	227/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	428								
39	39	114	114	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	429								
39	39	115	115	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	430								
39	39	231/2	231/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	431								
39	39	116	116	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	432								
39	39	233/2	233/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	433								
39	39	114	114	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	434								
39	39	116	116	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	435								
39	39	114	114	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	436								
39	39	115	115	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	437								
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	438								
40	40	117	117	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	439								
40	40	119	119	0.0	1/2	1/2	SystemText	3/4	1	1	0							Menuett I da capo					
40	40	117	117	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	440								
40	40	117	117	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	441								
40	40	118	118	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	442								
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	443								
